,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80-,Gap_80-,%0-20,Gap_0-20
0,Support Devices,0.3989678096571029,-0.020560114486896763,0.32339048285514344,0.0,0.1309482155353394,0.007527633031819692,0.13637158852344297,-0.04300576217424357,0.010321903428971308,0.02389935953567479
1,Cardiomegaly,0.40029706646862234,0.0,0.24656516895655403,0.011729664483537072,0.1117712588191608,-0.045519264788367764,0.23616784255477163,-0.030798940502444583,0.0051986632008912,0.04916512059369205
2,Lung Opacity,0.40711052433044137,0.02919666570796453,0.289607695209355,0.0,0.10750660128253489,-0.03234217095979941,0.1878536401357978,0.06929067621838703,0.007921539041870993,-0.028457459180350808
3,Pleural Effusion,0.4196073981618064,0.023261696225362893,0.2979689095654147,0.018712809752075232,0.09259049131964144,-0.03733213297749183,0.18257120163394985,0.0,0.007261999319187563,-0.08849634866376632
4,Edema,0.42326827401454264,0.04925869225710999,0.26942212016838885,0.0,0.08151549942594719,-0.03720523900981654,0.21852277076157672,0.06828878761343737,0.007271335629544585,-0.048818779904306275
5,Atelectasis,0.42081447963800905,0.0,0.3273001508295626,0.050076804915514694,0.08416289592760182,0.02508960573476704,0.15957767722473604,-0.08465963371750307,0.008144796380090498,-0.11469534050179209
6,Pneumothorax,0.41804979253112035,0.0,0.2889004149377593,-0.03711169817036497,0.18516597510373445,0.034284185138075074,0.09232365145228216,-0.13258705774109908,0.015560165975103735,0.04044665012406945
7,Enlarged Cardiomediastinum,0.4033457249070632,0.0,0.28810408921933084,0.029953917050691253,0.12825278810408922,-0.00253790155613437,0.17007434944237917,0.01646898844148975,0.010223048327137546,-0.14746543778801843
8,Pneumonia,0.37254901960784315,0.0,0.28104575163398693,-0.03172174622603019,0.12091503267973856,0.19926505452821244,0.2042483660130719,-0.030140350877192995,0.021241830065359478,0.2553981106612686
9,Lung Lesion,0.4209354120267261,0.06971677559912853,0.2650334075723831,0.0,0.133630289532294,-0.11057422969187675,0.17928730512249444,0.004384362440628453,0.0011135857461024498,-0.2689075630252101
10,Consolidation,0.3643198906356801,-0.1051490514905149,0.31852358168147643,-0.033810205054840226,0.12303485987696514,0.0,0.1797676008202324,0.018842416561047737,0.014354066985645933,0.2920634920634921
11,Pleural Other,0.36217948717948717,0.05366462446108464,0.25,0.0,0.16025641025641027,0.298974358974359,0.21794871794871795,-0.008672699849170434,0.009615384615384616,-0.14102564102564102
12,No Finding,0.2733245729303548,-0.19528388278388276,0.38808585194918965,0.02848543480597654,0.2606219886114761,0.13305322128851538,0.059570740254051686,-0.38900560224089636,0.018396846254927726,0.0
13,Fracture,0.3442796610169492,-0.07518853695324285,0.3082627118644068,0.12163937740044467,0.125,-0.11573612495845798,0.21610169491525424,0.0,0.006355932203389831,0.5735294117647058
