,diseases,%M,Gap_M,%F,Gap_F
0,Atelectasis,0.5993966817496229,-0.0014241667222488763,0.4006033182503771,0.0014241667222488763
1,Pneumonia,0.5816993464052288,-0.0023261938202247257,0.41830065359477125,0.0023261938202247257
2,Fracture,0.7108050847457628,-0.0028605274506913747,0.2891949152542373,0.0028605274506913747
3,Edema,0.5656333716035209,-0.005803771020488457,0.43436662839647916,0.005803771020488457
4,Support Devices,0.5925472358292512,-0.01118533051955406,0.40745276417074877,0.01118533051955406
5,Lung Opacity,0.5926065635609205,-0.014503618832072074,0.4073934364390796,0.014503618832072074
6,Lung Lesion,0.5534521158129176,0.01814377537042708,0.4465478841870824,-0.01814377537042708
7,Pleural Effusion,0.5830023828435266,-0.030430221134775448,0.4169976171564734,0.030430221134775448
8,Pleural Other,0.7211538461538461,0.030957854406130275,0.27884615384615385,-0.030957854406130275
9,Cardiomegaly,0.6082435945042703,0.04009281923973862,0.39175640549572965,-0.04009281923973862
10,Enlarged Cardiomediastinum,0.6096654275092936,0.04102787456445994,0.3903345724907063,-0.04102787456445994
11,No Finding,0.5768725361366623,-0.04478935280163365,0.4231274638633377,0.04478935280163365
12,Pneumothorax,0.6478215767634855,0.04901712238715861,0.35217842323651455,-0.04901712238715861
13,Consolidation,0.5734791524265208,-0.08417759237187128,0.42652084757347913,0.08417759237187128
