,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
4,Edema,Edema,0.011027027027027046,0.5263157894736842,0.005513513513513523,0.01624382517071939,0.4736842105263158,-0.005513513513513523,0.01624382517071939
2,Cardiomegaly,Cardiomegaly,0.019427777657016466,0.5192091303648931,-0.009713888828508233,0.011604805462574256,0.480790869635107,0.009713888828508233,0.011604805462574256
12,Pneumothorax,Pneumothorax,0.024070498681740316,0.6300138312586445,0.012035249340870158,0.012803565983274768,0.3699861687413555,-0.012035249340870158,0.012803565983274768
9,Pleural Effusion,Effusion,0.029188564027733666,0.5247344885410844,-0.014594282013866833,0.005912660001911695,0.4752655114589156,0.014594282013866833,0.005912660001911695
3,Consolidation,Consolidation,0.055735414558944,0.5573539760731879,0.027867707279472,0.016741298783370183,0.4426460239268121,-0.027867707279472,0.016741298783370183
1,Atelectasis,Atelectasis,0.0651945089354364,0.5608723958333334,0.03304152126615574,0.00595749421719444,0.4388020833333333,-0.03215298766928065,0.005963736529502009
10,Pleural Other,Pleural Other,0.0673684210526316,0.625,0.0336842105263158,0.02323025801961184,0.375,-0.0336842105263158,0.02323025801961184
0,Airspace Opacity,Air. Opacity,0.07513780362750774,0.5485940485940486,0.03756890181375387,0.020548480591531464,0.45140595140595147,-0.03756890181375387,0.020548480591531464
8,No Finding,No Finding,0.08474492769416249,0.4688871304222718,-0.042372463847081245,0.005484331562675638,0.5311128695777282,0.042372463847081245,0.005484331562675638
11,Pneumonia,Pneumonia,0.08781731279872543,0.5364978061428002,0.043908656399362714,0.01092633585277234,0.4635021938571998,-0.043908656399362714,0.01092633585277234
7,Lung Lesion,Lung Lesion,0.09799653792672892,0.5065913370998116,-0.04899826896336446,0.01459065453165067,0.4934086629001883,0.04899826896336446,0.01459065453165067
13,Support Devices,Sup. Devices,0.11684325245553726,0.5899000389458653,0.05842162622776863,0.004937273424855157,0.4100999610541348,-0.05842162622776863,0.004937273424855157
6,Fracture,Fracture,0.1266499584566995,0.5892857142857143,0.06399648660518224,0.011703669056039978,0.4083333333333333,-0.06265347185151725,0.011850553904844144
5,Enlarged Cardiomediastinum,Enlarged Card.,0.15085629884455748,0.6021164021164022,0.07542814942227874,0.01647805215954868,0.3978835978835979,-0.07542814942227874,0.01647805215954868
