,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80-,Gap_80-,%0-20,Gap_0-20
0,Airspace Opacity,0.40417690417690416,0.05916086199988979,0.36049686049686047,0.0,0.12257712257712258,-0.056015344798361344,0.10510510510510511,0.09198453950441832,0.007644007644007644,-0.16061286309298428
1,Atelectasis,0.4519856770833333,0.02637901944326637,0.3497721354166667,0.0,0.10823567708333333,-0.04981019323553182,0.08414713541666667,0.04910925238044228,0.005533854166666667,-0.3329592423288534
2,Cardiomegaly,0.4254942935219418,0.05651793767654345,0.33788779938916574,-0.0226832620371874,0.1186304452660344,0.0,0.11155762739109468,0.14128847340346606,0.006429834431763382,-0.29214092140921405
3,Consolidation,0.4088669950738916,-0.002868617326448608,0.36875439831104856,-0.0012722646310432406,0.1301900070372977,0.12612612612612617,0.08374384236453201,0.011204481792717103,0.00844475721323012,0.0
4,Edema,0.44324324324324327,0.0,0.3211948790896159,0.0013013208776440077,0.0972972972972973,-0.04393096562544574,0.1368421052631579,0.04987336502099016,0.001422475106685633,-0.4258023106546855
5,Enlarged Cardiomediastinum,0.4148148148148148,0.06948979591836735,0.37671957671957673,-0.0468539325842697,0.13227513227513227,0.0,0.06666666666666667,-0.0101587301587302,0.009523809523809525,0.27555555555555555
6,Fracture,0.3107142857142857,0.0,0.4369047619047619,0.0688089197907858,0.14642857142857144,-0.043173535183627695,0.08928571428571429,0.014712643678160928,0.014285714285714285,-0.09195402298850575
7,Lung Lesion,0.423728813559322,0.10393162393162392,0.3832391713747646,0.0893970893970894,0.1167608286252354,-0.03287841191066998,0.064030131826742,-0.006787330316742085,0.01224105461393597,0.0
8,No Finding,0.231422199841738,-0.15245163595750688,0.3905474426300266,0.0,0.3022804114811884,0.09483642809180759,0.03604057262067477,-0.2278960222858759,0.0397093734263722,0.13759039618153712
9,Pleural Effusion,0.4737283398546674,0.058323358776628864,0.31512017887087757,0.0,0.08342649524874231,-0.08105791336579415,0.12115707098937954,0.08464951651718478,0.006567915036333147,-0.1328772939566919
10,Pleural Other,0.4375,0.00023496240601503238,0.41776315789473684,0.00911543129477238,0.039473684210526314,-0.18773496240601503,0.10526315789473684,-0.00023496240601503238,0.0,
11,Pneumonia,0.3877143996808935,-0.08632930855153076,0.362983645791783,0.0,0.15715995213402473,0.027862999944218203,0.07538891104906262,-0.09015059015059018,0.016753091344236137,0.06593406593406592
12,Pneumothorax,0.3153526970954357,-0.03234430698259594,0.34716459197787,0.0,0.24343015214384509,0.12794277435711704,0.06500691562932227,-0.03598372467576505,0.029045643153526972,0.05976095617529881
13,Support Devices,0.3891990133714137,0.01123155409276999,0.36699987018044916,-0.020401962698166964,0.15643255874334674,0.0,0.07880046735038297,0.03357099400493546,0.008568090354407374,-0.04740349553627565
