,diseases,%White,P_Wh,N_Wh,Tot_Wh,TPR_White,%Black,P_Bl,N_Bl,Tot_Bl,TPR_Black,%Hisp,P_Hi,N_Hi,Tot_Hi,TPR_Hisp,%Other,P_Ot,N_Ot,Tot_Ot,TPR_Other,%Asian,P_As,N_As,Tot_As,Gap_Asian,%American,P_Am,N_Am,Tot_Am,TPR_American
0,Airspace Opacity,0.5434070434070434,3981,12775,16756,0.7249434815373021,0.12052962052962053,883,4111,4994,0.6579841449603624,0.046273546273546275,339,1441,1780,0.6932153392330384,0.02962052962052962,217,863,1080,0.7096774193548387,0.02293202293202293,168,506,674,0.6488095238095238,0.0015015015015015015,11,43,54,0.18181818181818182
1,Atelectasis,0.5457356770833334,3353,13403,16756,0.6907247241276468,0.11865234375,729,4265,4994,0.6241426611796982,0.045247395833333336,278,1502,1780,0.7158273381294964,0.0390625,240,840,1080,0.6291666666666667,0.018717447916666668,115,559,674,0.7130434782608696,0.00341796875,21,33,54,0.8095238095238095
2,Cardiomegaly,0.5294968654557145,3294,13462,16756,0.6754705525197329,0.16846166211220062,1048,3946,4994,0.7280534351145038,0.04806301237743128,299,1481,1780,0.7424749163879598,0.03777527728660987,235,845,1080,0.723404255319149,0.020736216042436906,129,545,674,0.6124031007751938,0.0027326796334994374,17,37,54,0.8823529411764706
3,Consolidation,0.5784658691062632,822,15934,16756,0.2871046228710462,0.11189303307529909,159,4835,4994,0.3081761006289308,0.04996481351161154,71,1709,1780,0.2676056338028169,0.02744546094299789,39,1041,1080,0.2564102564102564,0.023926812104152005,34,640,674,0.3235294117647059,0.0,0,54,54,
4,Edema,0.6142247510668564,2159,14597,16756,0.6266790180639185,0.12944523470839261,455,4539,4994,0.6263736263736264,0.05689900426742532,200,1580,1780,0.605,0.04751066856330014,167,913,1080,0.6646706586826348,0.014793741109530583,52,622,674,0.5384615384615384,0.0031294452347083927,11,43,54,0.7272727272727273
5,Enlarged Cardiomediastinum,0.5841269841269842,552,16204,16756,0.20833333333333334,0.1037037037037037,98,4896,4994,0.19387755102040816,0.05396825396825397,51,1729,1780,0.21568627450980393,0.03492063492063492,33,1047,1080,0.21212121212121213,0.016931216931216932,16,658,674,0.375,0.0,0,54,54,
6,Fracture,0.49047619047619045,412,16344,16756,0.1941747572815534,0.04404761904761905,37,4957,4994,0.02702702702702703,0.023809523809523808,20,1760,1780,0.0,0.06547619047619048,55,1025,1080,0.3090909090909091,0.002380952380952381,2,672,674,0.5,0.0011904761904761906,1,53,54,0.0
7,Lung Lesion,0.4529190207156309,481,16275,16756,0.17671517671517672,0.1431261770244821,152,4842,4994,0.2236842105263158,0.010357815442561206,11,1769,1780,0.18181818181818182,0.04048964218455744,43,1037,1080,0.3488372093023256,0.023540489642184557,25,649,674,0.16,0.0,0,54,54,
8,No Finding,0.36946982231494135,5136,11620,16756,0.735981308411215,0.14891015034889576,2070,2924,4994,0.8193236714975846,0.05625494568736062,782,998,1780,0.8414322250639387,0.025537731098482123,355,725,1080,0.7971830985915493,0.019207251276886553,267,407,674,0.8576779026217228,0.0009351845190993454,13,41,54,0.7692307692307693
9,Pleural Effusion,0.6046674119619899,4327,12429,16756,0.8155766119713427,0.09893795416433762,708,4286,4994,0.7175141242937854,0.03228060368921185,231,1549,1780,0.6233766233766234,0.03661263275572946,262,818,1080,0.7404580152671756,0.019005030743432086,136,538,674,0.7352941176470589,0.0030743432084963667,22,32,54,0.9090909090909091
10,Pleural Other,0.6710526315789473,204,16552,16756,0.28431372549019607,0.039473684210526314,12,4982,4994,0.16666666666666666,0.006578947368421052,2,1778,1780,0.0,0.019736842105263157,6,1074,1080,0.0,0.013157894736842105,4,670,674,0.25,0.0,0,54,54,
11,Pneumonia,0.49341842840047867,1237,15519,16756,0.3419563459983832,0.12325488631830873,309,4685,4994,0.3268608414239482,0.046270442760271244,116,1664,1780,0.3448275862068966,0.022736338252891904,57,1023,1080,0.19298245614035087,0.021938571998404467,55,619,674,0.41818181818181815,0.0007977662544874351,2,52,54,0.0
12,Pneumothorax,0.44744121715076074,647,16109,16756,0.43894899536321486,0.0739972337482711,107,4887,4994,0.3644859813084112,0.03872752420470263,56,1724,1780,0.35714285714285715,0.030428769017980636,44,1036,1080,0.36363636363636365,0.01867219917012448,27,647,674,0.5555555555555556,0.0,0,54,54,
13,Support Devices,0.5517330910035051,4250,12506,16756,0.7771764705882352,0.1294300921718811,997,3997,4994,0.7773319959879639,0.049980527067376344,385,1395,1780,0.9090909090909091,0.03621965467999481,279,801,1080,0.8279569892473119,0.022199143190964558,171,503,674,0.7426900584795322,0.0007789173049461248,6,48,54,1.0
