,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Airspace Opacity,0.4004914004914005,0.027256889505901882,0.32814632814632816,0.0,0.07521157521157522,-0.028690838922425188
1,Atelectasis,0.4051106770833333,0.04325248182070385,0.3523763020833333,0.0,0.058430989583333336,-0.14744060676629334
2,Cardiomegaly,0.41359909982317955,0.02946237389971873,0.3509082141134866,0.0,0.07571130043401382,-0.04135799407309715
3,Consolidation,0.3764954257565095,-0.03992295070271812,0.378606615059817,0.010641618661142493,0.09218859957776214,0.0
4,Edema,0.4779516358463727,0.017477842872164695,0.36073968705547654,0.0,0.07795163584637269,-0.058417186672499954
5,Enlarged Cardiomediastinum,0.34285714285714286,0.0,0.42433862433862435,-0.007165727656168214,0.07407407407407407,0.0665784832451499
6,Fracture,0.30238095238095236,0.01719612634627568,0.3107142857142857,0.0,0.05476190476190476,-0.08670664667666168
7,Lung Lesion,0.3182674199623352,0.0,0.2937853107344633,0.07519723865877714,0.06591337099811675,-0.043026204564666104
8,No Finding,0.2251636572908424,-0.1361400511660954,0.32637939716567155,0.0,0.08021005683044385,0.01159415706038347
9,Pleural Effusion,0.441866964784796,0.07031691141603325,0.351732811626607,0.0,0.04429849077697037,-0.07151621340813075
10,Pleural Other,0.4243421052631579,0.15836101882613512,0.26644736842105265,-0.042328042328042326,0.06907894736842106,0.0
11,Pneumonia,0.3613881132828081,-0.05918839419264793,0.3167132030315118,0.0,0.06262465097726366,0.07677004283720262
12,Pneumothorax,0.2842323651452282,0.07032813279630457,0.32710926694329184,0.0,0.042185338865836794,-0.12300280733372615
13,Support Devices,0.3816694794236012,-0.013647959183673453,0.40672465273270153,0.00991794339823382,0.07477606127482798,0.0
