,diseases,%White,Gap_White,%Black,Gap_Black,%Hisp,Gap_Hisp,%Other,Gap_Other,%Asian,Gap_Asian,%American,Gap_American
0,Airspace Opacity,0.5434070434070434,0.049343739440601775,0.12052962052962053,-0.01761559713633798,0.046273546273546275,0.01761559713633798,0.02962052962052962,0.03407767725813837,0.02293202293202293,-0.026790218287176537,0.0015015015015015015,-0.49378156027851855
1,Atelectasis,0.5457356770833334,-0.011159377066611409,0.11865234375,-0.07774144001456007,0.045247395833333336,0.013943236935238135,0.0390625,-0.0727174345275916,0.018717447916666668,0.011159377066611298,0.00341796875,0.10763970832955128
2,Cardiomegaly,0.5294968654557145,-0.05025829269709359,0.16846166211220062,0.002324589897677365,0.04806301237743128,0.01674607117113336,0.03777527728660987,-0.002324589897677476,0.020736216042436906,-0.11332574444163268,0.0027326796334994374,0.1566240959596441
3,Consolidation,0.5784658691062632,0.0,0.11189303307529909,0.021071477757884594,0.04996481351161154,-0.019498989068229333,0.02744546094299789,-0.030694366460789824,0.023926812104152005,0.03642478889365969,0.0,
4,Edema,0.6142247510668564,0.00015269584514598922,0.12944523470839261,-0.00015269584514610024,0.05689900426742532,-0.021526322218772487,0.04751066856330014,0.03814433646386228,0.014793741109530583,-0.08806478375723403,0.0031294452347083927,0.10074640505395482
5,Enlarged Cardiomediastinum,0.5841269841269842,-0.0037878787878787845,0.1037037037037037,-0.01824366110080397,0.05396825396825397,0.0035650623885918054,0.03492063492063492,0.0,0.016931216931216932,0.16287878787878787,0.0,
6,Fracture,0.49047619047619045,0.08357386512726318,0.04404761904761905,-0.08357386512726318,0.023809523809523808,-0.11060089215429021,0.06547619047619048,0.19849001693661888,0.002380952380952381,0.3893991078457098,0.0011904761904761906,-0.11060089215429021
7,Lung Lesion,0.4529190207156309,-0.005103005103005098,0.1431261770244821,0.04186602870813397,0.010357815442561206,0.0,0.04048964218455744,0.16701902748414377,0.023540489642184557,-0.02181818181818182,0.0,
8,No Finding,0.36946982231494135,-0.072272076633352,0.14891015034889576,0.011070286453017553,0.05625494568736062,0.03317884001937166,0.025537731098482123,-0.011070286453017664,0.019207251276886553,0.049424517577155824,0.0009351845190993454,-0.039022615813797734
9,Pleural Effusion,0.6046674119619899,0.07770054551422545,0.09893795416433762,-0.02036194216333187,0.03228060368921185,-0.11449944308049387,0.03661263275572946,0.0025819488100583543,0.019005030743432086,-0.0025819488100583543,0.0030743432084963667,0.17121484263379183
10,Pleural Other,0.6710526315789473,0.11764705882352941,0.039473684210526314,0.0,0.006578947368421052,-0.16666666666666666,0.019736842105263157,-0.16666666666666666,0.013157894736842105,0.08333333333333334,0.0,
11,Pneumonia,0.49341842840047867,0.007547752287217491,0.12325488631830873,-0.007547752287217491,0.046270442760271244,0.010418992495730861,0.022736338252891904,-0.14142613757081485,0.021938571998404467,0.08377322447065244,0.0007977662544874351,-0.3344085937111657
12,Pneumothorax,0.44744121715076074,0.07446301405480366,0.0739972337482711,0.0,0.03872752420470263,-0.007343124165554049,0.030428769017980636,-0.0008496176720475535,0.01867219917012448,0.19106957424714438,0.0,
13,Support Devices,0.5517330910035051,-0.02546802202940268,0.1294300921718811,-0.025312496629674053,0.049980527067376344,0.10644641647327113,0.03621965467999481,0.025312496629673942,0.022199143190964558,-0.05995443413810575,0.0007789173049461248,0.19735550738236207
