,diseases,%M,P_M,N_M,Tot_M,TPR_M,%F,P_F,N_F,Tot_F,TPR_F
0,Airspace Opacity,0.5485940485940486,4019,14593,18612,0.7315252550385668,0.4514059514059514,3307,14496,17803,0.7072875718173571
1,Atelectasis,0.5608723958333334,3446,15166,18612,0.691526407428903,0.4388020833333333,2696,15107,17803,0.6554154302670623
2,Cardiomegaly,0.5192091303648931,3230,15382,18612,0.6390092879256966,0.4807908696351069,2991,14812,17803,0.6593112671347375
3,Consolidation,0.5573539760731879,792,17820,18612,0.49873737373737376,0.4426460239268121,629,17174,17803,0.4912559618441971
4,Edema,0.5263157894736842,1850,16762,18612,0.5967567567567568,0.47368421052631576,1665,16138,17803,0.5813813813813814
5,Enlarged Cardiomediastinum,0.6021164021164022,569,18043,18612,0.24077328646748683,0.3978835978835979,376,17427,17803,0.17287234042553193
6,Fracture,0.5892857142857143,495,18117,18612,0.15757575757575756,0.4083333333333333,343,17460,17803,0.10495626822157435
7,Lung Lesion,0.5065913370998116,538,18074,18612,0.16171003717472118,0.4934086629001883,524,17279,17803,0.21564885496183206
8,No Finding,0.46888713042227176,6518,12094,18612,0.8109849647131022,0.5311128695777282,7383,10420,17803,0.8470811323310308
9,Pleural Effusion,0.5247344885410844,3755,14857,18612,0.7832223701731025,0.4752655114589156,3401,14402,17803,0.798588650396942
10,Pleural Other,0.625,190,18422,18612,0.2578947368421053,0.375,114,17689,17803,0.24561403508771928
11,Pneumonia,0.5364978061428002,1345,17267,18612,0.4401486988847584,0.4635021938571998,1162,16641,17803,0.3864027538726334
12,Pneumothorax,0.6300138312586445,911,17701,18612,0.4621295279912184,0.3699861687413555,535,17268,17803,0.47289719626168225
13,Support Devices,0.5899000389458653,4544,14068,18612,0.7986355633802817,0.41009996105413477,3159,14644,17803,0.7334599556821779
