,diseases,%60-80,P60-80,N60-80,Tot60-80,TPR_60-80,%40-60,P40-60,N40-60,Tot40-60,TPR_40-60,%20-40,P20-40,N20-40,Tot20-40,TPR_20-40,%80-,P80-,N80-,Tot80-,TPR_80-,%0-20,P0-20,N0-20,Tot0-20,TPR_0-20
0,Airspace Opacity,0.40417690417690416,2961,9262,12223,0.7740628166160081,0.36049686049686047,2641,10975,13616,0.7122302158273381,0.12257712257712258,898,6364,7262,0.6481069042316259,0.10510510510510511,770,1747,2517,0.7909090909090909,0.007644007644007644,56,741,797,0.5892857142857143
1,Atelectasis,0.4519856770833333,2777,9446,12223,0.7068779258192294,0.3497721354166667,2149,11467,13616,0.6658911121451838,0.10823567708333333,665,6597,7262,0.649624060150376,0.08414713541666667,517,2000,2517,0.6827852998065764,0.005533854166666667,34,763,797,0.35294117647058826
2,Cardiomegaly,0.4254942935219418,2647,9576,12223,0.7106157914620325,0.33788779938916574,2102,11514,13616,0.6374881065651761,0.1186304452660344,738,6524,7262,0.6382113821138211,0.11155762739109468,694,1823,2517,0.7824207492795389,0.006429834431763382,40,757,797,0.325
3,Consolidation,0.4088669950738916,581,11642,12223,0.40619621342512907,0.36875439831104856,524,13092,13616,0.366412213740458,0.1301900070372977,185,7077,7262,0.4648648648648649,0.08374384236453201,119,2398,2517,0.3697478991596639,0.00844475721323012,12,785,797,0.4166666666666667
4,Edema,0.44324324324324327,1558,10665,12223,0.5603337612323491,0.3211948790896159,1129,12487,13616,0.5845881310894597,0.0972972972972973,342,6920,7262,0.5175438596491229,0.1368421052631579,481,2036,2517,0.6424116424116424,0.001422475106685633,5,792,797,0.2
5,Enlarged Cardiomediastinum,0.4148148148148148,392,11831,12223,0.2653061224489796,0.37671957671957673,356,13260,13616,0.2050561797752809,0.13227513227513227,125,7137,7262,0.272,0.06666666666666667,63,2454,2517,0.23809523809523808,0.009523809523809525,9,788,797,0.5555555555555556
6,Fracture,0.3107142857142857,261,11962,12223,0.1724137931034483,0.4369047619047619,367,13249,13616,0.1880108991825613,0.14642857142857144,123,7139,7262,0.04065040650406504,0.08928571428571429,75,2442,2517,0.17333333333333334,0.014285714285714285,12,785,797,0.08333333333333333
7,Lung Lesion,0.423728813559322,450,11773,12223,0.24888888888888888,0.3832391713747646,407,13209,13616,0.24078624078624078,0.1167608286252354,124,7138,7262,0.12096774193548387,0.064030131826742,68,2449,2517,0.1323529411764706,0.01224105461393597,13,784,797,0.38461538461538464
8,No Finding,0.231422199841738,3217,9006,12223,0.6757848927572272,0.3905474426300266,5429,8187,13616,0.8303554982501381,0.3022804114811884,4202,3060,7262,0.9312232270347454,0.03604057262067477,501,2016,2517,0.5948103792415169,0.0397093734263722,552,245,797,0.967391304347826
9,Pleural Effusion,0.4737283398546674,3390,8833,12223,0.8230088495575221,0.31512017887087757,2255,11361,13616,0.7680709534368071,0.08342649524874231,597,6665,7262,0.6834170854271356,0.12115707098937954,867,1650,2517,0.8592848904267589,0.006567915036333147,47,750,797,0.5957446808510638
10,Pleural Other,0.4375,133,12090,12223,0.19548872180451127,0.41776315789473684,127,13489,13616,0.2204724409448819,0.039473684210526314,12,7250,7262,0.0,0.10526315789473684,32,2485,2517,0.15625,0.0,0,797,797,
11,Pneumonia,0.3877143996808935,972,11251,12223,0.24691358024691357,0.362983645791783,910,12706,13616,0.34395604395604396,0.15715995213402473,394,6868,7262,0.39086294416243655,0.07538891104906262,189,2328,2517,0.20634920634920634,0.016753091344236137,42,755,797,0.42857142857142855
12,Pneumothorax,0.3153526970954357,456,11767,12223,0.43201754385964913,0.34716459197787,502,13114,13616,0.48406374501992033,0.24343015214384509,352,6910,7262,0.6193181818181818,0.06500691562932227,94,2423,2517,0.425531914893617,0.029045643153526972,42,755,797,0.5476190476190477
13,Support Devices,0.3891990133714137,2998,9225,12223,0.8038692461641094,0.36699987018044916,2827,10789,13616,0.7725504067916519,0.15643255874334674,1205,6057,7262,0.8008298755186722,0.07880046735038297,607,1910,2517,0.8319604612850082,0.008568090354407374,66,731,797,0.7424242424242424
