,diseases,diseases_abbr,Distance,%40-60,Gap_40-60_mean,CI_40-60,%60-80,Gap_60-80_mean,CI_60-80,%20-40,Gap_20-40_mean,CI_20-40,%80-,Gap_80-_mean,CI_80-,%0-20,Gap_0-20_mean,CI_0-20
8,Infiltration,Infiltration,0.1881313131043772,0.47439613521256,0.0109979633922608,0.014631653819983041,0.2396135266560384,0.0105019381118194,0.010148816791398653,0.2086956521391304,-0.0754299615149432,0.017499725016373008,0.013526570038647198,-0.0639220250218214,0.04610967089488088,0.0637681159536232,0.11270135158943399,0.02094541743149794
11,Pleural_Thickening,Pleural Thick.,0.2,0.3922651932961328,0.015024283709859202,0.02566403155711482,0.32044198896022075,-0.066665857212239,0.03423318464139365,0.22099447511049758,0.028334142808450802,0.029805632259192805,0.011049723805524799,-0.16666585719154942,0.15910402377528263,0.055248618827623996,0.033334142808450595,0.09456239049234787
7,Hernia,Hernia,0.230769230671795,0.5,-0.1054945054945056,0.1300736048139534,0.2692307691846152,0.0681318681296704,0.08788935725862752,0.0,,,0.23076923081538486,0.1252747251772894,0.273600167828512,0.0,,
4,Effusion,Effusion,0.31424554838069324,0.4588744588995672,0.0027222488941442,0.028041577470230828,0.279942279953824,0.0135372655604866,0.016870411434829122,0.17604617603694084,0.0018252492817306,0.0035774885921919753,0.0158730158984128,-0.3007082828202066,0.041944329953419505,0.06926406921125519,-0.024950706983843197,0.07097371687647691
12,Pneumonia,Pneumonia,0.3399999999333332,0.44615384612307685,-0.023169993940592798,0.02728891795882483,0.23076923081538486,-0.049376890508409,0.0345718540129554,0.29230769224615366,0.011675741067029599,0.020002235576779305,0.0,,,0.030769230815384803,0.2906231094249242,0.10531176269233487
9,Mass,Mass,0.3568106311700998,0.4422535211014088,0.011699223621191602,0.03312620178083842,0.2647887323154928,0.0023483631154048003,0.006431283369626603,0.24225352110140883,-0.1073498061148774,0.03532467741613258,0.0112676057070424,-0.043396317659063204,0.10172685256661855,0.039436619774648005,0.24946082505522238,0.13205591016361062
13,Pneumothorax,Pneumothorax,0.3922222220444441,0.39072847685695355,0.07479734711879141,0.03836611430603547,0.15231788083576162,-0.07479734711879141,0.03836611430603547,0.3973509933019864,0.1459272904928026,0.04119350994417795,0.0,,,0.0596026490052984,-0.24629493155164156,0.13211088761549636
2,Consolidation,Consolidation,0.3925925925111114,0.43724696365020244,-0.12690602830953518,0.016637738255929093,0.25910931179271285,0.025061564223798204,0.014610382045043592,0.19028340084777357,0.0146227345046494,0.021000158715123826,0.004048582996760799,-0.3343134357762018,0.01998353091765118,0.1093117409125504,0.0582791567349096,0.04546119374921906
1,Cardiomegaly,Cardiomegaly,0.4000000000666666,0.48872180460902237,0.1306089743589744,0.11139097311062761,0.24060150380751838,-0.1176602563179486,0.10527926088727352,0.22556390981954882,0.1531730770153846,0.08660579518270933,0.0225563909819552,0.019839743548717998,0.13742568343578268,0.0225563909819552,-0.246826923051282,0.15425475548421896
0,Atelectasis,Atelectasis,0.4154088050088048,0.46902654873805283,-0.057238771891469996,0.03369712173506574,0.3156342182312688,0.053964425608923804,0.026850328155905556,0.1578171091156344,-0.011456135146216401,0.01608603505755919,0.011799410023599197,0.3581700331173348,0.061866967539358046,0.0457227138914456,-0.014410611998794199,0.018805332736650755
3,Edema,Edema,0.45294117644705856,0.5555555556444448,0.033676709646485004,0.029983964126463005,0.3037037037629632,-0.05972166421367779,0.03355812823863061,0.12592592594074078,0.06395121956021041,0.031684974131608826,0.0,,,0.014814814851851998,-0.3889899568868482,0.20288382792513657
6,Fibrosis,Fibrosis,0.5,0.5428571428857143,-0.05768421049473681,0.0448114432471481,0.23809523807619043,0.017403508771929803,0.03411087719298242,0.1904761903809528,0.0274035087719298,0.05927619751635172,0.019047619038095202,0.2774035087719298,0.040870203778667624,0.009523809619048,-0.22259649122807018,0.04087020377866762
10,Nodule,Nodule,0.6031746031904763,0.5464190981145889,-0.002040063939216,0.0038792096586964626,0.20954907169442963,-0.0361927000122894,0.04566001783639574,0.16710875325252,-0.0469622399141584,0.016634507644367972,0.0026525199151192,0.556212363276318,0.028710452770745208,0.0742705570233424,0.06335522036203241,0.013926820039144477
5,Emphysema,Emphysema,1.0,0.33088235295294083,0.0533333332888888,0.03259399327663998,0.3235294118117648,-0.0989898989373738,0.04552566868074424,0.33088235295294083,0.0,0.0,0.007352941141176799,-0.4444444443555554,0.013773476030955798,0.007352941141176799,0.5555555556444446,0.013773476030955798
