,diseases,%40-60,Gap_40-60,%60-80,Gap_60-80,%20-40,Gap_20-40,%80-,Gap_80-,%0-20,Gap_0-20
0,Atelectasis,0.4690265486725664,0.44025157232704404,0.31563421828908556,0.5467289719626168,0.15781710914454278,0.4766355140186916,0.011799410029498525,0.875,0.045722713864306784,0.4838709677419355
1,Cardiomegaly,0.48872180451127817,0.47692307692307695,0.24060150375939848,0.28125,0.22556390977443608,0.5666666666666667,0.022556390977443608,0.6666666666666666,0.022556390977443608,0.0
2,Consolidation,0.43724696356275305,0.21296296296296297,0.2591093117408907,0.359375,0.1902834008097166,0.3191489361702128,0.004048582995951417,0.0,0.10931174089068826,0.4444444444444444
3,Edema,0.5555555555555556,0.5866666666666667,0.3037037037037037,0.4634146341463415,0.1259259259259259,0.5882352941176471,0.0,,0.014814814814814815,0.0
4,Effusion,0.4588744588744589,0.5534591194968553,0.27994227994227994,0.5773195876288659,0.17604617604617603,0.5327868852459017,0.015873015873015872,0.2727272727272727,0.06926406926406926,0.375
5,Emphysema,0.33088235294117646,0.5111111111111111,0.3235294117647059,0.36363636363636365,0.33088235294117646,0.4444444444444444,0.007352941176470588,0.0,0.007352941176470588,1.0
6,Fibrosis,0.5428571428571428,0.21052631578947367,0.23809523809523808,0.24,0.19047619047619047,0.25,0.01904761904761905,0.5,0.009523809523809525,0.0
7,Hernia,0.5,0.07692307692307693,0.2692307692307692,0.14285714285714285,0.0,,0.23076923076923078,0.0,0.0,
8,Infiltration,0.47439613526570046,0.5010183299389002,0.2396135265700483,0.5080645161290323,0.20869565217391303,0.4212962962962963,0.01352657004830918,0.42857142857142855,0.06376811594202898,0.5757575757575758
9,Mass,0.4422535211267606,0.37579617834394907,0.2647887323943662,0.3723404255319149,0.24225352112676057,0.29069767441860467,0.011267605633802818,0.5,0.03943661971830986,0.6428571428571429
10,Nodule,0.5464190981432361,0.4320388349514563,0.20954907161803712,0.43037974683544306,0.16710875331564987,0.4126984126984127,0.002652519893899204,1.0,0.07427055702917772,0.5
11,Pleural_Thickening,0.39226519337016574,0.29577464788732394,0.32044198895027626,0.20689655172413793,0.22099447513812154,0.325,0.011049723756906077,0.0,0.055248618784530384,0.4
12,Pneumonia,0.4461538461538462,0.2413793103448276,0.23076923076923078,0.2,0.2923076923076923,0.2631578947368421,0.0,,0.03076923076923077,0.5
13,Pneumothorax,0.39072847682119205,0.5677966101694916,0.152317880794702,0.391304347826087,0.3973509933774834,0.6583333333333333,0.0,,0.059602649006622516,0.0
