,diseases,%M,Gap_M,%F,Gap_F
0,Atelectasis,0.6091445427728613,0.5181598062953995,0.39085545722713866,0.3886792452830189
1,Cardiomegaly,0.6390977443609023,0.38823529411764707,0.3609022556390977,0.5416666666666666
2,Consolidation,0.5425101214574899,0.373134328358209,0.4574898785425101,0.26548672566371684
3,Edema,0.42962962962962964,0.3448275862068966,0.5703703703703704,0.5194805194805194
4,Effusion,0.5079365079365079,0.7159090909090909,0.49206349206349204,0.6774193548387096
5,Emphysema,0.6176470588235294,0.44047619047619047,0.38235294117647056,0.3269230769230769
6,Fibrosis,0.49523809523809526,0.21153846153846154,0.5047619047619047,0.16981132075471697
7,Hernia,0.11538461538461539,0.3333333333333333,0.8846153846153846,0.34782608695652173
8,Infiltration,0.5565217391304348,0.4722222222222222,0.4434782608695652,0.5294117647058824
9,Mass,0.5211267605633803,0.372972972972973,0.4788732394366197,0.3941176470588235
10,Nodule,0.5437665782493368,0.4682926829268293,0.4562334217506631,0.3430232558139535
11,Pleural_Thickening,0.574585635359116,0.2403846153846154,0.425414364640884,0.37662337662337664
12,Pneumonia,0.4307692307692308,0.32142857142857145,0.5692307692307692,0.2702702702702703
13,Pneumothorax,0.5496688741721855,0.572289156626506,0.4503311258278146,0.5882352941176471
