,diseases,%M,Gap_M,%F,Gap_F
0,Mass,0.5211267605633803,-0.013831478537360886,0.4788732394366197,0.013831478537360886
1,Effusion,0.5079365079365079,-0.016770527859237494,0.49206349206349204,0.016770527859237494
2,Nodule,0.5437665782493368,0.018547929665343188,0.4562334217506631,-0.018547929665343188
3,Pneumothorax,0.5496688741721855,0.020198440822111974,0.4503311258278146,-0.020198440822111974
4,Fibrosis,0.49523809523809526,-0.03483309143686503,0.5047619047619047,0.03483309143686503
5,Infiltration,0.5565217391304348,-0.07979302832244012,0.4434782608695652,0.07979302832244012
6,Hernia,0.11538461538461539,-0.13043478260869565,0.8846153846153846,0.13043478260869565
7,Atelectasis,0.6091445427728613,0.13227648590616292,0.39085545722713866,-0.13227648590616292
8,Pleural_Thickening,0.574585635359116,-0.14348151848151847,0.425414364640884,0.14348151848151847
9,Pneumonia,0.4307692307692308,0.15154440154440155,0.5692307692307692,-0.15154440154440155
10,Consolidation,0.5425101214574899,0.15605600316999077,0.4574898785425101,-0.15605600316999077
11,Edema,0.42962962962962964,-0.16166592028660987,0.5703703703703704,0.16166592028660987
12,Cardiomegaly,0.6390977443609023,-0.19779411764705884,0.3609022556390977,0.19779411764705884
13,Emphysema,0.6176470588235294,0.20146520146520153,0.38235294117647056,-0.20146520146520153
